task_idx,class,train_time_s,n_connections,delta_connections,n_dead,n_mature,n_active,n_silent,n_newly_activated,mean_theta,mean_obs_var,mean_seen_acc
0,0,0.0618,13916,0,0,0,794,517,277,0.625750,0.09832934,1.000000
1,1,0.0565,13926,0,0,0,794,428,14,0.620408,0.09745727,0.750000
2,2,0.0614,13955,0,0,10,784,377,20,0.614243,0.09773373,0.616667
3,3,0.0624,13995,0,0,10,784,347,4,0.605870,0.09949459,0.387500
4,4,0.0613,14042,0,0,10,784,330,1,0.604906,0.10104899,0.370000
5,5,0.0666,14106,10,0,10,784,303,4,0.618398,0.10142918,0.241667
6,6,0.0623,14176,0,0,10,784,290,2,0.621899,0.10168491,0.214286
7,7,0.0628,14265,0,0,10,784,276,2,0.621911,0.10189742,0.250000
8,8,0.0779,14361,0,0,10,784,264,0,0.625179,0.10261663,0.188889
9,9,0.0609,14466,0,0,10,784,250,4,0.653493,0.10310497,0.200000
0,0,17.9987,15300,1180,0,10,784,303,491,0.645960,0.01713549,1.000000
1,1,20.6001,16610,1190,0,10,784,287,14,0.644922,0.03214430,0.502500
2,2,18.2794,18007,1178,0,10,784,232,52,0.574009,0.06762569,0.333333
3,3,17.0946,19553,1205,0,10,784,212,19,0.640742,0.08504328,0.253750
4,4,16.1221,21130,1126,0,10,784,200,10,0.622642,0.09285951,0.203000
5,5,14.8280,22781,1076,0,10,784,191,7,0.612411,0.09815895,0.167500
6,6,16.1349,24582,1152,0,10,784,173,17,0.584542,0.10644784,0.149286
7,7,17.1231,26559,1174,0,10,784,136,29,0.605760,0.10745005,0.128750
8,8,15.9613,28615,1144,0,10,784,131,4,0.546179,0.10703857,0.112778
9,9,16.3190,30661,1062,0,10,784,125,4,0.605011,0.11052920,0.102000
0,0,0.5147,14095,10,0,0,794,427,367,0.634342,0.08766634,1.000000
1,1,0.5217,14164,9,0,0,794,371,5,0.642658,0.07121208,0.940000
2,2,0.5266,14304,20,0,0,794,334,24,0.637625,0.06541939,0.580000
3,3,0.5435,14502,20,0,0,794,300,10,0.662085,0.06069776,0.287500
4,4,0.6089,14758,20,0,0,794,283,4,0.672459,0.05640360,0.240000
5,5,0.5661,15074,20,0,0,794,254,5,0.642967,0.05444544,0.176667
6,6,0.5136,15443,20,0,0,794,239,2,0.616687,0.05309378,0.157143
7,7,0.5073,15875,20,0,0,794,221,9,0.636776,0.05102270,0.206250
8,8,0.5164,16374,20,0,0,794,203,0,0.651532,0.04941466,0.111111
9,9,0.5041,16908,20,0,0,794,187,0,0.650493,0.04810709,0.100000
0,0,29.0928,15247,1180,0,0,794,312,482,0.650238,0.08866511,0.000000
1,1,33.4333,16610,1243,0,0,794,290,17,0.658196,0.10343666,0.027500
2,2,29.9497,18020,1187,0,0,794,231,59,0.681714,0.14647307,0.021667
3,3,31.2549,19596,1220,0,0,794,206,24,0.691216,0.17131211,0.267500
4,4,29.3981,21206,1141,0,0,794,192,14,0.689836,0.18243864,0.224000
5,5,26.8183,22870,1082,0,0,794,181,11,0.685519,0.19148239,0.182500
6,6,29.8086,24758,1175,0,0,794,166,11,0.692783,0.20066079,0.170714
7,7,31.1209,26827,1238,0,0,794,135,30,0.704603,0.20363054,0.193125
8,8,28.9791,28941,1175,0,0,794,132,2,0.688013,0.20988002,0.156667
9,9,29.2972,31180,1175,0,0,794,130,1,0.696750,0.21302736,0.150000
0,0,0.4794,14085,10,0,0,794,429,365,0.631743,0.08711292,1.000000
1,1,0.5001,14164,19,0,0,794,371,10,0.629607,0.07108694,0.855000
2,2,0.4842,14300,20,0,0,794,328,12,0.642998,0.06551976,0.586667
3,3,0.4968,14496,20,0,0,794,291,8,0.666909,0.06134371,0.287500
4,4,0.4888,14749,20,0,0,794,269,1,0.644219,0.05767659,0.254000
5,5,0.5356,15059,20,0,0,794,246,4,0.653763,0.05636625,0.183333
6,6,0.5127,15429,20,0,0,794,234,3,0.654498,0.05466970,0.171429
7,7,0.5027,15861,19,0,0,794,212,11,0.667054,0.05287304,0.138750
8,8,0.5017,16350,15,0,0,794,199,0,0.699895,0.05218811,0.134444
9,9,0.5331,16898,20,0,0,794,194,0,0.699993,0.05099921,0.102000
0,0,0.4954,14060,10,0,0,794,417,377,0.631693,0.08867485,1.000000
1,1,0.4899,14129,9,0,0,794,374,4,0.625522,0.07267058,0.950000
2,2,0.4885,14268,20,0,0,794,334,31,0.620731,0.06668621,0.460000
3,3,0.4952,14458,20,0,0,794,303,8,0.597301,0.06159870,0.262500
4,4,0.4963,14715,20,0,0,794,277,1,0.598725,0.05790718,0.238000
5,5,0.5751,15024,20,0,0,794,260,4,0.619837,0.05566943,0.168333
6,6,0.5295,15396,20,0,0,794,241,3,0.617703,0.05296488,0.147143
7,7,0.5367,15820,18,0,0,794,216,14,0.591528,0.05092049,0.132500
8,8,0.5418,16320,20,0,0,794,199,0,0.596298,0.05110478,0.120000
9,9,0.5403,16866,17,0,0,794,186,0,0.570183,0.05079286,0.100000
0,0,0.4865,14084,10,0,0,794,420,374,0.638882,0.08798394,1.000000
1,1,0.5463,14164,20,0,0,794,372,3,0.635746,0.07131945,0.920000
2,2,0.4898,14300,20,0,0,794,340,20,0.651439,0.06433611,0.400000
3,3,0.4954,14494,20,0,0,794,312,5,0.658616,0.05872822,0.287500
4,4,0.4898,14750,20,0,0,794,292,2,0.681076,0.05492718,0.234000
5,5,0.5934,15056,16,0,0,794,265,2,0.676294,0.05328759,0.170000
6,6,0.5159,15435,20,0,0,794,231,9,0.667822,0.05134500,0.152857
7,7,0.5446,15860,17,0,0,794,212,6,0.653376,0.05007019,0.127500
